City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,rayadrug,14.7,76.8667,23.42,77,100,9.08,IN,1720917598
118,bandipura,34.4167,74.65,18.72,68,12,1.81,IN,1720917599
119,tangalle,6.024,80.7911,25.09,85,91,5.05,LK,1720917118
120,pisco,-13.7,-76.2167,17.23,82,0,6.69,PE,1720917005
121,ebon,4.582,168.6964,29.14,71,9,8.07,MH,1720917603
122,howard springs,-12.497,131.047,27.71,65,48,2.88,AU,1720917604
123,villa gesell,-37.2639,-56.973,5.03,65,0,4.28,AR,1720917605
124,tynda,55.1667,124.7167,14.06,98,100,2.4,RU,1720917606
125,lihue,21.9789,-159.3672,28.77,63,100,8.75,US,1720917607
126,vallenar,-28.5708,-70.7581,13.83,36,0,0.76,CL,1720917609
127,sinabang,2.4803,96.3801,27.07,78,98,0.35,ID,1720917610
128,galliano,29.4422,-90.2992,31.0,66,40,3.09,US,1720917611
129,broome,42.2506,-75.833,24.25,83,0,1.28,US,1720917612
130,tikamgarh,24.745,78.8333,29.54,71,0,2.23,IN,1720917614
131,holualoa,19.6228,-155.9522,26.97,78,100,3.09,US,1720917162
132,isafjordur,66.0755,-23.124,10.11,89,100,5.22,IS,1720917616
133,ankazobe,-18.3167,47.1167,8.81,94,1,2.55,MG,1720917617
134,lompoc,34.6391,-120.4579,24.08,79,40,4.12,US,1720917024
135,port blair,11.6667,92.75,25.02,94,100,5.14,IN,1720917619
136,ola,59.5833,151.2833,13.58,84,60,3.65,RU,1720917621
137,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,63,75,2.0,RU,1720917032
138,lospalos,-8.5186,127.0025,23.65,56,15,4.06,TL,1720917623
139,katsuura,35.1333,140.3,26.02,87,100,5.02,JP,1720917047
140,hawaiian paradise park,19.5933,-154.9731,28.74,73,100,4.12,US,1720917625
141,kudahuvadhoo,2.6708,72.8944,28.88,73,100,4.27,MV,1720917626
142,kingston,17.997,-76.7936,30.53,74,20,2.06,JM,1720917628
143,corumba,-19.0092,-57.6533,13.92,53,21,3.11,BR,1720917629
144,lebu,-37.6167,-73.65,7.41,91,35,2.91,CL,1720917630
145,boende,-0.2167,20.8667,22.94,91,100,0.97,CD,1720917631
146,fale old settlement,-9.3852,-171.2468,28.35,77,82,6.92,TK,1720917633
147,parras de la fuente,25.4167,-102.1833,24.94,51,100,9.22,MX,1720917634
148,esperanza,19.5847,-70.9849,26.27,90,100,3.13,DO,1720917635
149,alice springs,-23.7,133.8833,11.75,54,6,5.14,AU,1720917394
150,aykhal,66.0,111.5,22.25,61,100,4.1,RU,1720917637
151,al muwayh,22.4333,41.7583,30.01,20,97,3.43,SA,1720917639
152,zaysan,47.4667,84.8667,26.59,28,100,1.29,KZ,1720917640
153,ust-nera,64.5667,143.2,13.64,90,100,4.58,RU,1720917641
154,razole,16.4833,81.8333,25.45,88,100,4.21,IN,1720917642
155,trairi,-3.2778,-39.2689,25.46,74,38,5.13,BR,1720917362
156,olonkinbyen,70.9221,-8.7187,3.32,96,86,5.51,SJ,1720917645
157,bayganin,48.6947,55.8742,17.68,85,5,4.02,KZ,1720917646
158,eyl,7.9803,49.8164,26.09,74,67,11.89,SO,1720917647
159,aasiaat,68.7098,-52.8699,3.35,90,100,6.91,GL,1720917648
160,nizhnesortymskiy,62.4397,71.7603,12.49,84,22,6.46,RU,1720917431
161,sadjoavato,-12.6334,49.349,19.73,79,23,4.54,MG,1720917651
162,dudinka,69.4058,86.1778,15.61,86,56,2.88,RU,1720917652
163,roma,43.2128,-75.4557,24.08,76,0,3.09,US,1720917653
164,kapuskasing,49.4169,-82.4331,29.05,54,20,5.66,CA,1720917654
165,huarmey,-10.0681,-78.1522,17.43,84,53,5.14,PE,1720917655
166,viedma,-40.8135,-62.9967,7.0,48,0,5.51,AR,1720917656
167,panaba,21.2833,-88.2667,26.16,81,25,6.33,MX,1720917658
168,quellon,-43.1167,-73.6167,7.07,90,100,1.35,CL,1720917659
169,papatowai,-46.5619,169.4708,8.53,64,0,3.04,NZ,1720917660
170,el calafate,-50.3408,-72.2768,1.92,63,58,1.49,AR,1720917661
171,sarikei,2.1167,111.5167,27.71,69,31,2.14,MY,1720917664
172,jamestown,42.097,-79.2353,24.8,60,0,2.57,US,1720917665
173,gamay,12.3854,125.2979,30.4,64,100,1.4,PH,1720917666
174,sisimiut,66.9395,-53.6735,4.38,90,100,4.84,GL,1720917383
175,veraval,20.9,70.3667,28.5,84,91,9.24,IN,1720917668
176,menaka,15.9182,2.4022,28.38,58,100,4.86,ML,1720917670
177,gremda,34.75,10.7833,28.11,74,0,0.51,TN,1720917671
178,talnakh,69.4865,88.3972,17.73,79,100,1.15,RU,1720917673
179,punta arenas,-53.15,-70.9167,7.06,76,0,8.75,CL,1720917675
180,bhag,29.0415,67.8239,35.6,45,0,3.02,PK,1720917676
181,crane,31.3974,-102.3501,29.07,46,40,10.49,US,1720917677
